event_time,event_time_formatted,code,value,status,event_from,event_id
1766688452338,2025-12-25 13:47:32,liquid_level_percent,56,1,1,7
1766688426992,2025-12-25 13:47:06,liquid_level_percent,57,1,1,7
1766688346358,2025-12-25 13:45:46,liquid_depth,68,1,1,7
1766688316501,2025-12-25 13:45:16,liquid_depth,67,1,1,7
1766688315428,2025-12-25 13:45:15,liquid_depth,68,1,1,7
1766688042670,2025-12-25 13:40:42,liquid_level_percent,56,1,1,7
1766688042640,2025-12-25 13:40:42,liquid_state,normal,1,1,7
1766687964183,2025-12-25 13:39:24,liquid_depth,67,1,1,7
1766687666071,2025-12-25 13:34:26,liquid_level_percent,55,1,1,7
1766687642859,2025-12-25 13:34:02,liquid_depth,66,1,1,7
1766687540121,2025-12-25 13:32:20,liquid_depth,65,1,1,7
1766687539051,2025-12-25 13:32:19,liquid_depth,66,1,1,7
1766687477193,2025-12-25 13:31:17,liquid_level_percent,54,1,1,7
1766687477180,2025-12-25 13:31:17,liquid_depth,65,1,1,7
1766687476116,2025-12-25 13:31:16,liquid_level_percent,55,1,1,7
1766687476101,2025-12-25 13:31:16,liquid_depth,66,1,1,7
1766687476087,2025-12-25 13:31:16,liquid_state,lower_alarm,1,1,7
1766687474957,2025-12-25 13:31:14,liquid_level_percent,56,1,1,7
1766687474944,2025-12-25 13:31:14,liquid_depth,67,1,1,7
1766687474929,2025-12-25 13:31:14,liquid_state,normal,1,1,7
1766687458413,2025-12-25 13:30:58,liquid_depth,65,1,1,7
1766687457349,2025-12-25 13:30:57,liquid_level_percent,54,1,1,7
1766687457337,2025-12-25 13:30:57,liquid_depth,66,1,1,7
1766687457324,2025-12-25 13:30:57,liquid_state,lower_alarm,1,1,7
1766687456193,2025-12-25 13:30:56,liquid_level_percent,56,1,1,7
1766687456179,2025-12-25 13:30:56,liquid_depth,67,1,1,7
1766687456165,2025-12-25 13:30:56,liquid_state,normal,1,1,7
1766687437421,2025-12-25 13:30:37,liquid_depth,65,1,1,7
1766687436359,2025-12-25 13:30:36,liquid_level_percent,54,1,1,7
1766687436348,2025-12-25 13:30:36,liquid_depth,66,1,1,7
1766687436334,2025-12-25 13:30:36,liquid_state,lower_alarm,1,1,7
1766687435204,2025-12-25 13:30:35,liquid_level_percent,56,1,1,7
1766687435191,2025-12-25 13:30:35,liquid_depth,67,1,1,7
1766687435177,2025-12-25 13:30:35,liquid_state,normal,1,1,7
1766687434121,2025-12-25 13:30:34,liquid_depth,65,1,1,7
1766687433056,2025-12-25 13:30:33,liquid_level_percent,54,1,1,7
1766687433042,2025-12-25 13:30:33,liquid_depth,66,1,1,7
1766687433028,2025-12-25 13:30:33,liquid_state,lower_alarm,1,1,7
